File,Line,Error_Type,Message_Template
"src/contracts.rs",180,syntax,"Expr::EnumUnit { .. } | Expr::EnumData { .. } => Err(CompileError::syntax("
"src/typeck/serializable.rs",53,type_err,"return Err(CompileError::type_err("
"src/typeck/serializable.rs",67,type_err,"return Err(CompileError::type_err("
"src/typeck/serializable.rs",210,type_err,"Err(CompileError::type_err("
"src/typeck/serializable.rs",234,type_err,"return Err(CompileError::type_err("
"src/typeck/serializable.rs",245,type_err,"return Err(CompileError::type_err("
"src/typeck/serializable.rs",255,type_err,"return Err(CompileError::type_err("
"src/typeck/serializable.rs",265,type_err,"return Err(CompileError::type_err("
"src/typeck/serializable.rs",275,type_err,"return Err(CompileError::type_err("
"src/typeck/serializable.rs",285,type_err,"Err(CompileError::type_err("
"src/typeck/serializable.rs",313,type_err,"Err(CompileError::type_err("
"src/typeck/check.rs",33,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",50,type_err,"CompileError::type_err("
"src/typeck/check.rs",104,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",111,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",122,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",151,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",165,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",173,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",182,type_err,"CompileError::type_err("
"src/typeck/check.rs",188,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",195,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",209,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",224,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",241,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",262,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",286,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",294,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",304,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",311,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",322,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",345,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",358,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",366,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",386,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",394,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",425,type_err,"CompileError::type_err("
"src/typeck/check.rs",431,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",444,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",459,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",467,type_err,"return Err(CompileError::type_err("
"src/typeck/check.rs",519,type_err,"CompileError::type_err("
